frame,person,box_confidence,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
10,1,0.44628906,1071.0,394.5,0.98095703,1075.0,390.5,0.9741211,1068.0,390.5,0.97753906,1080.0,390.5,0.7338867,1062.0,390.0,0.79589844,1088.0,407.0,0.99853516,1054.0,404.0,0.9980469,1103.0,428.0,0.99072266,1036.0,417.5,0.984375,1099.0,453.0,0.97998047,1027.0,438.5,0.9716797,1082.0,457.0,0.9980469,1062.0,456.0,0.9975586,1079.0,498.0,0.9921875,1067.0,496.0,0.9921875,1079.0,538.0,0.9707031,1074.0,533.5,0.96972656
11,0,0.875,922.5,530.5,0.02947998,920.5,527.0,0.021774292,926.0,526.0,0.022888184,908.0,533.5,0.7084961,939.0,529.0,0.7133789,895.5,565.5,0.99316406,958.5,553.5,0.99560547,884.0,605.0,0.9526367,997.0,564.0,0.9350586,902.5,600.0,0.7158203,972.5,575.0,0.67626953,914.5,651.0,0.9975586,953.5,645.0,0.9975586,913.0,715.0,0.99072266,951.5,699.0,0.9848633,919.5,791.0,0.99560547,950.5,763.0,0.99316406
11,1,0.43701172,1071.0,394.5,0.9814453,1075.0,390.5,0.9741211,1067.0,390.5,0.97802734,1080.0,390.5,0.73046875,1062.0,390.0,0.7993164,1088.0,407.0,0.99853516,1054.0,404.0,0.9975586,1102.0,428.0,0.99072266,1036.0,418.0,0.98291016,1099.0,453.0,0.97998047,1028.0,438.5,0.96972656,1083.0,457.0,0.9980469,1062.0,455.5,0.9975586,1079.0,498.0,0.9921875,1066.0,496.0,0.9921875,1079.0,537.5,0.97021484,1073.0,533.5,0.9682617
12,0,0.85839844,926.0,530.0,0.03616333,922.5,527.0,0.023376465,928.0,525.5,0.030853271,906.0,534.0,0.60498047,936.5,531.5,0.69140625,894.5,566.5,0.9921875,953.5,558.5,0.99316406,881.5,606.0,0.95947266,989.0,570.5,0.9145508,897.0,601.0,0.7866211,974.5,565.0,0.61376953,914.0,651.0,0.9975586,952.0,647.0,0.9970703,912.5,715.0,0.99121094,950.5,699.0,0.98535156,919.0,790.0,0.99560547,950.5,762.0,0.99365234
12,1,0.44702148,1071.0,395.0,0.9814453,1075.0,391.0,0.97509766,1067.0,390.5,0.97802734,1080.0,390.5,0.7397461,1062.0,390.0,0.7973633,1088.0,406.5,0.99853516,1054.0,404.0,0.9975586,1103.0,428.0,0.99121094,1036.0,417.5,0.9824219,1099.0,453.5,0.98046875,1028.0,438.0,0.9692383,1083.0,456.5,0.9980469,1062.0,455.0,0.9975586,1079.0,497.5,0.9921875,1066.0,495.0,0.9916992,1079.0,537.5,0.97021484,1073.0,533.0,0.96777344
13,0,0.83984375,925.0,528.5,0.031433105,921.5,526.5,0.020721436,927.5,525.0,0.026855469,904.5,534.5,0.5683594,936.0,532.0,0.6459961,895.0,567.5,0.99121094,952.5,560.0,0.99121094,882.0,606.0,0.95410156,986.5,572.0,0.8823242,896.5,599.0,0.7709961,977.0,562.5,0.51708984,914.5,652.0,0.9975586,951.5,647.0,0.9970703,912.5,715.0,0.9916992,950.0,699.0,0.98583984,918.5,790.0,0.99560547,950.5,762.0,0.9941406
13,1,0.4399414,1071.0,394.5,0.98095703,1075.0,390.5,0.9746094,1067.0,390.5,0.9770508,1080.0,390.5,0.74316406,1062.0,390.0,0.7890625,1088.0,406.5,0.99853516,1054.0,404.0,0.9975586,1103.0,428.0,0.99121094,1037.0,417.0,0.9824219,1099.0,454.0,0.98046875,1028.0,438.5,0.9692383,1083.0,456.5,0.9980469,1062.0,455.5,0.9975586,1079.0,497.5,0.9921875,1066.0,495.5,0.9916992,1079.0,537.5,0.9692383,1073.0,533.0,0.96728516
14,0,0.8251953,922.5,528.5,0.022506714,918.5,527.0,0.015899658,926.0,525.5,0.01826477,904.0,535.0,0.52978516,936.5,532.0,0.56347656,895.5,568.0,0.99072266,951.5,561.0,0.9897461,881.5,605.0,0.9536133,983.0,574.5,0.8652344,896.0,598.0,0.75439453,976.0,563.0,0.45751953,914.5,652.0,0.9975586,951.0,647.0,0.9970703,912.5,715.0,0.99072266,950.0,699.0,0.9838867,918.5,790.0,0.9951172,950.5,763.0,0.99316406
14,1,0.43920898,1071.0,394.5,0.9814453,1075.0,391.0,0.97509766,1068.0,391.0,0.97802734,1080.0,390.5,0.7392578,1062.0,390.0,0.7973633,1088.0,407.0,0.99853516,1054.0,403.5,0.9975586,1103.0,428.0,0.99121094,1037.0,417.0,0.98291016,1099.0,454.0,0.98095703,1028.0,438.5,0.97021484,1083.0,456.5,0.9980469,1062.0,455.0,0.9975586,1079.0,497.5,0.9921875,1066.0,495.0,0.9916992,1078.0,537.5,0.96972656,1073.0,533.0,0.96728516
15,0,0.8227539,923.0,528.5,0.022583008,919.0,527.0,0.015899658,926.5,525.5,0.017990112,904.5,535.5,0.5341797,937.0,532.5,0.55810547,896.0,568.0,0.99072266,952.0,561.5,0.9897461,881.5,605.0,0.94921875,984.0,574.5,0.86572266,897.5,596.0,0.72314453,975.5,564.0,0.44628906,914.5,652.0,0.9975586,951.0,647.0,0.9970703,913.0,715.0,0.99072266,950.5,699.0,0.98339844,918.5,790.0,0.99560547,951.0,763.0,0.99365234
15,1,0.45214844,1071.0,395.0,0.97998047,1075.0,391.0,0.97265625,1068.0,391.0,0.9770508,1080.0,390.5,0.72802734,1062.0,390.5,0.7973633,1089.0,407.0,0.99853516,1054.0,404.0,0.9975586,1103.0,428.0,0.99121094,1037.0,417.0,0.98291016,1099.0,454.0,0.98095703,1028.0,438.5,0.97021484,1083.0,456.5,0.9980469,1062.0,455.0,0.9975586,1079.0,497.0,0.9921875,1066.0,495.0,0.9916992,1079.0,537.0,0.97021484,1073.0,532.0,0.96777344
16,0,0.8222656,923.5,529.0,0.023071289,919.5,527.0,0.016586304,927.0,525.5,0.018371582,905.0,535.5,0.5317383,937.5,532.5,0.5546875,896.5,568.0,0.99072266,952.5,561.0,0.9897461,882.0,604.0,0.9501953,984.5,573.0,0.8696289,897.5,595.0,0.7290039,976.0,562.0,0.4580078,915.0,652.0,0.9975586,951.5,647.0,0.9970703,913.0,715.0,0.99072266,950.5,699.0,0.9848633,918.5,790.0,0.99560547,951.0,763.0,0.99365234
16,1,0.44360352,1071.0,394.5,0.98046875,1075.0,391.0,0.9736328,1068.0,390.5,0.9770508,1081.0,390.5,0.7338867,1062.0,390.0,0.7949219,1089.0,406.5,0.99853516,1054.0,404.0,0.9975586,1103.0,427.5,0.99121094,1037.0,417.0,0.98291016,1100.0,454.0,0.98095703,1028.0,438.5,0.96972656,1083.0,456.5,0.9980469,1062.0,455.0,0.9975586,1080.0,497.0,0.9921875,1066.0,495.0,0.9916992,1079.0,537.0,0.96875,1073.0,532.5,0.9663086
17,0,0.8232422,923.5,529.0,0.022842407,919.5,527.0,0.016586304,927.0,525.5,0.018432617,905.0,536.0,0.54296875,937.5,532.5,0.5654297,896.5,568.5,0.9902344,952.5,561.5,0.9897461,882.0,604.0,0.9453125,985.0,574.0,0.8666992,898.0,595.0,0.71191406,976.5,563.0,0.46069336,915.0,652.0,0.9975586,951.5,647.0,0.9970703,913.5,715.0,0.99072266,950.5,699.0,0.984375,918.5,790.0,0.99560547,951.0,762.0,0.9941406
17,1,0.4453125,1071.0,394.5,0.9794922,1075.0,391.0,0.9716797,1068.0,391.0,0.97558594,1081.0,390.5,0.72753906,1062.0,390.5,0.7910156,1089.0,406.5,0.99853516,1054.0,404.0,0.9975586,1103.0,427.5,0.99072266,1037.0,417.0,0.98291016,1100.0,453.5,0.97998047,1029.0,438.5,0.96972656,1083.0,456.5,0.9980469,1062.0,455.0,0.9975586,1080.0,497.5,0.9921875,1066.0,495.5,0.9916992,1079.0,537.0,0.96972656,1073.0,532.5,0.96777344
18,0,0.8222656,924.0,529.0,0.023376465,920.0,527.5,0.016662598,927.0,526.0,0.019012451,905.0,536.0,0.5371094,937.5,533.0,0.5620117,896.5,568.5,0.9902344,953.0,561.5,0.9897461,883.0,604.0,0.9453125,985.5,573.0,0.8691406,898.0,594.0,0.71435547,979.0,562.0,0.46728516,915.0,651.0,0.9975586,951.5,647.0,0.9970703,913.0,714.0,0.99072266,950.5,698.0,0.984375,918.5,790.0,0.9951172,951.0,762.0,0.99365234
18,1,0.44921875,1072.0,394.5,0.97998047,1075.0,390.5,0.97265625,1068.0,390.5,0.9770508,1081.0,390.5,0.7285156,1062.0,390.0,0.796875,1089.0,406.5,0.99853516,1054.0,404.0,0.9975586,1103.0,427.5,0.9902344,1037.0,417.0,0.9824219,1100.0,454.0,0.9794922,1029.0,438.5,0.96875,1083.0,456.5,0.9980469,1062.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,495.5,0.9916992,1079.0,537.0,0.97021484,1073.0,533.0,0.9682617
19,0,0.8256836,924.0,529.0,0.024139404,920.0,527.0,0.016983032,927.0,525.5,0.019348145,905.0,536.0,0.54833984,937.0,532.5,0.5786133,896.5,568.5,0.9902344,952.5,561.0,0.9902344,884.0,605.0,0.94433594,987.0,572.0,0.8828125,898.0,596.0,0.72314453,980.5,563.0,0.5185547,915.0,652.0,0.9975586,951.5,647.0,0.9970703,913.0,715.0,0.99121094,950.5,698.0,0.9863281,918.5,790.0,0.9951172,950.5,762.0,0.9941406
19,1,0.4638672,1072.0,394.5,0.9814453,1075.0,390.5,0.9746094,1068.0,390.5,0.9785156,1081.0,390.5,0.73095703,1063.0,390.5,0.8017578,1089.0,407.0,0.99853516,1055.0,404.0,0.9975586,1103.0,427.5,0.99072266,1037.0,417.5,0.98291016,1100.0,454.0,0.98046875,1029.0,438.5,0.97021484,1083.0,457.0,0.9980469,1062.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,495.5,0.9916992,1079.0,537.5,0.96972656,1073.0,533.0,0.96728516
20,0,0.82910156,925.0,528.5,0.02619934,921.0,527.0,0.017852783,927.5,525.5,0.02079773,905.0,535.5,0.5444336,937.0,532.0,0.58251953,897.0,568.0,0.9892578,952.5,559.5,0.99072266,885.0,604.0,0.93896484,988.5,569.0,0.9013672,898.0,597.0,0.7216797,981.5,563.0,0.59277344,915.5,651.0,0.9975586,952.0,646.0,0.9975586,913.0,715.0,0.99121094,951.0,699.0,0.98779297,918.5,790.0,0.99560547,950.5,763.0,0.9946289
20,1,0.46411133,1072.0,394.5,0.97998047,1076.0,391.0,0.97265625,1069.0,391.0,0.9765625,1081.0,390.5,0.72753906,1063.0,390.5,0.79541016,1089.0,407.0,0.99853516,1055.0,404.0,0.9975586,1104.0,428.0,0.99072266,1037.0,417.5,0.9824219,1100.0,454.0,0.97998047,1029.0,438.5,0.96972656,1083.0,457.0,0.9980469,1062.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,495.5,0.9916992,1079.0,537.5,0.97021484,1073.0,532.5,0.96777344
21,0,0.8251953,924.0,528.0,0.025558472,920.0,526.5,0.017044067,927.0,524.5,0.020248413,904.5,535.0,0.52734375,937.0,531.5,0.56933594,897.5,567.5,0.98876953,952.5,558.5,0.9902344,885.5,603.0,0.93847656,989.0,567.0,0.9008789,897.5,596.0,0.7294922,984.0,561.0,0.5864258,916.0,651.0,0.9975586,952.0,645.0,0.9975586,913.0,714.0,0.9916992,950.5,698.0,0.98779297,918.5,790.0,0.99560547,950.5,762.0,0.9941406
21,1,0.47729492,1072.0,394.5,0.9814453,1076.0,391.0,0.9736328,1069.0,391.0,0.9790039,1081.0,390.5,0.7207031,1063.0,390.0,0.8095703,1089.0,407.0,0.99853516,1055.0,404.5,0.9975586,1104.0,428.0,0.99072266,1037.0,417.5,0.9824219,1100.0,454.5,0.97998047,1029.0,439.0,0.96972656,1083.0,457.0,0.9980469,1062.0,456.0,0.9975586,1080.0,498.0,0.9921875,1066.0,496.0,0.99121094,1079.0,537.5,0.9692383,1073.0,533.5,0.9667969
22,0,0.8227539,923.5,527.5,0.02456665,919.5,526.0,0.016845703,927.0,524.5,0.018615723,904.5,535.0,0.5073242,937.0,531.0,0.52685547,898.0,566.5,0.9868164,953.0,557.0,0.9897461,887.0,603.0,0.9301758,990.5,565.5,0.90527344,899.0,596.0,0.7026367,985.0,561.0,0.61376953,916.5,650.0,0.9975586,952.5,644.0,0.9975586,913.0,713.0,0.9916992,951.0,698.0,0.98828125,918.5,789.0,0.99560547,950.5,762.0,0.9946289
22,1,0.4711914,1073.0,394.5,0.98046875,1076.0,391.0,0.97216797,1069.0,391.0,0.9785156,1082.0,390.5,0.71240234,1063.0,390.0,0.81396484,1090.0,407.0,0.99853516,1055.0,404.0,0.9975586,1104.0,428.0,0.99072266,1037.0,418.0,0.98291016,1100.0,454.5,0.97998047,1028.0,439.5,0.97021484,1083.0,457.0,0.9980469,1063.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,496.0,0.9916992,1079.0,537.5,0.9707031,1073.0,533.0,0.9682617
23,0,0.82128906,923.5,528.0,0.024612427,919.5,526.5,0.017105103,927.0,524.5,0.018539429,904.5,535.0,0.50146484,937.5,531.0,0.5161133,898.5,566.5,0.9863281,953.5,557.0,0.9892578,887.0,603.0,0.9267578,990.5,565.0,0.90527344,899.0,596.0,0.70166016,985.5,560.5,0.62402344,916.5,650.0,0.9970703,952.5,644.0,0.9970703,913.0,713.0,0.9916992,951.0,698.0,0.98828125,918.5,788.0,0.99560547,950.5,763.0,0.9946289
23,1,0.47094727,1073.0,394.5,0.9814453,1076.0,390.5,0.9736328,1069.0,390.5,0.9790039,1082.0,390.5,0.72021484,1063.0,390.0,0.81347656,1090.0,407.0,0.99853516,1055.0,404.0,0.9980469,1104.0,428.0,0.9902344,1037.0,418.0,0.98339844,1100.0,454.5,0.9794922,1028.0,439.5,0.96972656,1083.0,457.0,0.9980469,1062.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,496.0,0.9916992,1079.0,537.5,0.96972656,1073.0,533.0,0.96777344
24,0,0.8173828,923.0,528.0,0.025039673,919.5,526.5,0.017578125,927.0,524.5,0.018478394,905.0,535.0,0.50341797,938.0,531.0,0.5048828,899.0,566.5,0.98583984,954.0,557.0,0.98828125,887.5,603.0,0.92578125,991.0,564.5,0.8964844,899.0,594.5,0.6933594,985.5,560.0,0.5961914,916.5,650.0,0.9970703,953.0,644.0,0.9970703,913.5,713.0,0.9916992,951.0,698.0,0.98876953,918.5,789.0,0.99560547,950.5,763.0,0.9946289
24,1,0.48510742,1073.0,394.5,0.98046875,1077.0,390.5,0.97216797,1069.0,390.5,0.9785156,1082.0,390.5,0.70947266,1064.0,390.5,0.81396484,1090.0,407.0,0.9980469,1055.0,404.0,0.9975586,1104.0,428.0,0.9902344,1037.0,418.0,0.98339844,1100.0,454.5,0.9790039,1028.0,439.0,0.96972656,1083.0,457.0,0.9980469,1062.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,496.0,0.9916992,1079.0,537.5,0.9692383,1073.0,533.0,0.96728516
25,0,0.8232422,923.5,527.5,0.024475098,919.5,526.0,0.017242432,927.0,524.0,0.018478394,905.0,535.0,0.5073242,937.5,530.5,0.515625,899.0,566.5,0.9863281,953.5,556.5,0.98876953,888.0,602.5,0.92578125,990.5,565.0,0.9033203,900.0,594.0,0.68066406,985.0,561.0,0.6040039,916.5,650.0,0.9970703,952.5,644.0,0.9975586,913.0,713.0,0.9916992,951.0,698.0,0.98876953,918.5,789.0,0.99560547,950.5,763.0,0.9946289
25,1,0.47753906,1073.0,394.5,0.9794922,1077.0,390.5,0.9711914,1069.0,391.0,0.97802734,1082.0,390.0,0.7080078,1064.0,390.0,0.8129883,1090.0,407.0,0.9980469,1055.0,404.5,0.9975586,1104.0,428.0,0.9902344,1037.0,418.5,0.98339844,1100.0,454.5,0.9794922,1029.0,439.5,0.9707031,1083.0,457.0,0.9975586,1062.0,455.5,0.9975586,1080.0,497.5,0.9921875,1066.0,496.0,0.9916992,1079.0,537.0,0.96972656,1073.0,533.0,0.96777344
